58,44,82,14,51,40,68,3,86,19,18,16,83,13,80,36,65,41,47,64,23,43,37,26,60,59,48
87,4,33,27,85,65,35,55,26,34,14,1,12,76,17,2,18,10,58,64,23,19,25,50,83,20,38
71,77,47,51,62,65,87,9,82,12,23,39,68,40,54,17,2,26,80,63,42,67,43,70,36,5,29
86,57,88,39,27,68,38,36,11,69,52,12,1,41,18,55,28,60,30,24,56,64,87,44,72,10,78
17,44,53,87,68,41,66,15,50,57,58,7,48,36,35,38,34,88,6,27,39,42,73,31,62,45,10
89,37,35,28,50,76,66,10,34,79,87,65,17,38,25,31,30,85,18,69,88,13,83,73,45,53,4
15,2,42,70,75,71,9,77,54,24,16,19,22,10,56,63,47,36,14,79,7,65,21,35,58,11,62
45,33,26,10,12,29,22,75,81,63,52,1,51,54,80,56,87,30,82,14,68,77,88,2,46,36,62
60,57,76,78,71,74,20,47,6,1,39,54,38,33,83,17,46,35,70,61,59,82,11,66,15,13,27
45,3,20,22,39,63,56,23,34,61,17,2,24,7,59,64,75,58,37,12,49,88,67,5,40,86,77
18,44,69,64,57,61,3,52,11,20,45,56,21,78,49,63,17,25,40,82,28,53,51,47,73,23,35
58,65,46,80,23,83,5,25,84,59,31,26,52,87,78,66,85,89,82,56,40,44,38,69,17,50,72
37,74,62,73,64,10,66,48,88,2,22,47,84,24,51,68,87,16,40,59,72,20,31,67,81,76,27
80,29,83,57,20,48,9,72,11,60,45,8,10,12,30,25,58,4,84,88,89,18,82,51,86,27,64
51,64,35,75,23,59,27,26,1,86,8,47,81,60,28,49,66,15,63,22,52,54,2,85,30,77,10
37,13,23,11,88,65,22,49,8,56,53,55,71,17,16,72,84,3,39,83,4,81,44,30,6,25,24
70,78,72,36,13,68,56,23,74,33,87,88,46,28,76,80,30,34,51,79,9,71,77,69,21,75,49
4,14,46,86,36,25,6,40,27,37,45,9,10,44,2,28,5,79,59,77,80,53,89,51,1,29,54
35,33,73,78,37,10,27,5,25,32,42,65,45,62,64,6,14,84,81,74,44,4,49,86,16,52,50
14,65,29,9,18,59,77,13,52,21,83,68,67,50,81,26,66,72,43,80,70,42,64,89,58,23,88
55,1,8,78,31,43,88,70,68,12,41,72,81,48,47,51,19,26,67,34,59,10,17,18,83,25,21
46,21,79,16,61,4,1,65,87,49,74,29,7,71,13,51,42,41,59,27,56,50,22,83,72,14,11
35,68,83,60,36,59,27,20,74,78,32,42,73,34,18,51,50,7,1,85,46,4,19,28,66,88,39
24,10,25,35,1,64,8,5,56,38,17,32,85,43,14,49,82,44,73,40,2,47,36,27,6,16,51
55,89,28,68,30,58,42,70,29,19,61,80,37,31,69,86,47,17,64,78,36,20,1,52,76,45,74
66,45,1,76,36,14,52,34,39,17,68,10,37,28,21,40,13,78,53,70,6,32,44,85,43,75,57
55,30,7,6,76,66,44,42,21,48,89,36,14,50,12,25,56,40,29,77,69,78,17,85,45,63,81
16,24,32,83,46,21,6,43,78,65,64,30,42,4,1,38,37,85,77,45,14,67,74,55,58,20,5
21,39,59,41,31,30,9,70,50,43,89,86,38,84,17,56,42,88,12,52,64,33,61,40,58,73,37
4,46,70,72,44,5,45,53,28,35,49,86,71,57,87,17,48,88,79,18,16,76,13,69,47,32,42
42,35,31,63,66,72,36,52,56,79,88,29,32,25,6,60,82,74,22,43,27,21,4,47,40,62,16
59,80,19,12,21,40,63,26,42,61,49,57,44,68,83,17,46,10,78,36,54,87,16,73,66,82,33
82,32,28,9,43,1,44,65,60,4,68,14,36,21,62,34,7,86,46,80,45,89,55,50,26,70,87
19,17,11,45,38,42,66,69,7,13,40,23,2,76,12,52,43,72,78,67,32,64,8,6,36,24,73
61,70,1,80,46,49,25,66,45,30,86,60,42,51,19,67,56,35,55,76,88,47,24,69,89,6,83
87,23,79,54,32,9,22,42,38,74,84,76,1,30,88,64,85,59,89,8,33,48,46,39,49,43,3
16,77,15,32,67,38,35,87,14,82,89,22,63,41,1,53,79,83,74,11,66,9,65,43,10,51,12
21,15,13,52,46,44,77,28,36,82,10,3,80,20,49,55,23,2,70,87,40,17,47,84,25,57,7
10,18,11,60,47,32,55,39,17,57,22,12,71,13,78,63,43,25,23,50,61,52,70,49,72,44,82
54,3,6,83,15,56,89,58,22,10,44,85,31,47,49,57,76,38,59,79,8,34,41,62,73,12,42
59,16,45,29,51,14,8,82,17,58,80,28,55,26,48,79,49,35,31,70,74,24,18,89,30,27,78
26,40,8,58,6,79,65,46,71,9,4,82,16,81,43,70,73,18,48,75,63,47,21,76,56,87,62
63,54,49,29,66,11,35,21,30,17,24,7,56,10,31,33,53,20,2,40,68,84,77,73,23,28,87
33,47,59,29,80,37,65,46,2,54,83,48,39,34,73,68,53,20,26,15,3,72,38,42,16,18,6
