59,25,71,79,10,34,57,15,40,23,39,66,46,17,53,67,61,55,26,76,24,11,28,60,47,62,50,86,19,6,73,69,3,89,14,27,84,35,68,16,72,80,51,7,21,85,41,45,38,5,77,8,42,81,52,64,43,2,87,88,65,36,30,78,70,18,37,29,63,74,56,4,20,83,1,12,9,58,44,49,54
79,76,22,70,87,1,65,77,35,61,10,20,88,40,68,80,42,19,43,71,62,14,81,27,45,72,47,7,5,28,49,25,13,48,89,67,75,51,9,74,31,86,54,34,17,32,66,84,3,2,15,33,23,41,56,85,16,37,39,60,57,26,12,30,64,6,83,55,53,8,18,4,38,78,46,44,69,21,59,11,63
72,48,39,25,26,24,7,19,55,13,49,62,67,46,8,21,54,34,31,63,88,10,18,73,44,2,69,4,79,89,52,82,85,76,64,9,65,71,22,57,81,27,6,66,20,77,74,59,47,83,87,1,40,80,33,51,17,28,68,16,30,60,50,12,29,35,38,43,11,32,3,78,14,56,84,61,58,36,42,23,41
8,57,60,25,66,34,27,78,40,84,77,26,19,46,36,64,68,15,86,88,13,18,14,71,62,63,22,5,30,28,49,17,56,59,4,37,42,11,67,54,35,10,2,79,69,55,74,21,12,76,16,51,32,48,85,33,23,75,20,61,80,72,52,70,41,9,87,58,81,6,73,50,7,31,29,53,1,38,3,82,43
45,43,35,76,60,16,87,89,21,88,15,53,22,30,32,81,58,10,52,1,13,73,29,51,82,3,67,40,80,54,20,9,75,42,78,17,70,86,31,66,77,59,14,8,46,85,23,79,5,7,25,27,26,64,83,47,44,72,71,6,38,2,56,37,74,61,50,49,84,69,33,65,36,68,41,28,34,39,4,57,24
15,17,7,47,44,51,67,6,31,76,87,83,13,72,69,2,5,86,32,61,64,66,3,16,89,24,65,28,56,30,8,45,38,88,41,18,1,42,10,59,75,35,84,48,53,82,26,22,9,29,4,85,20,55,62,39,19,14,71,52,36,68,49,50,25,77,33,34,11,54,73,21,43,12,60,63,70,79,74,81,57
44,1,17,73,24,86,35,63,3,12,6,76,74,8,28,54,15,45,71,47,26,84,75,41,14,85,38,21,37,10,5,83,32,66,52,23,72,60,29,34,19,11,80,16,20,67,77,59,46,33,40,56,58,9,68,25,64,55,31,78,2,27,62,50,49,7,48,30,36,22,70,13,4,87,79,42,57,82,61,88,51
86,42,40,49,55,83,68,41,63,38,15,70,33,48,6,51,39,32,84,74,14,78,7,5,71,11,46,80,22,88,81,57,30,2,29,85,59,73,45,79,21,52,62,82,27,72,34,77,60,19,64,24,37,4,26,43,17,28,58,18,69,20,54,10,56,44,53,23,16,31,47,75,67,9,50,76,13,36,35,1,66
71,40,41,27,89,7,81,88,43,80,58,68,39,49,57,3,65,16,31,60,2,67,44,28,45,83,15,51,9,63,66,17,32,64,19,1,11,33,75,35,84,42,87,21,59,52,85,24,69,12,47,74,50,36,26,14,46,30,34,20,82,53,13,79,78,56,5,10,8,18,86,54,29,6,4,55,23,77,22,73,76
18,88,77,61,85,10,37,54,21,47,39,65,15,9,4,32,2,81,11,76,66,69,50,84,58,73,60,75,44,23,67,46,87,20,26,51,52,25,14,63,70,83,24,8,22,27,49,86,3,42,6,7,74,64,38,19,31,12,40,45,16,36,30,56,80,59,57,68,53,17,89,35,79,55,48,78,62,82,41,34,72
