60,57,21,87,24,63,67,1,11
38,88,74,11,26,66,46,13,85
43,39,2,4,81,74,80,82,42
13,29,57,18,89,84,73,77,47
81,22,85,5,50,88,53,61,25
86,79,75,34,60,46,30,77,85
31,53,33,81,46,18,66,57,47
58,76,62,85,26,87,80,49,86
75,46,29,80,35,32,31,52,54
40,60,50,89,87,45,19,5,39
15,84,30,16,35,59,56,65,2
74,16,54,55,50,10,1,82,6
39,82,81,22,40,46,29,12,69
73,42,89,20,60,84,63,11,83
71,13,89,4,29,36,42,21,31
4,13,33,21,48,80,85,53,34
24,39,43,80,15,21,88,37,51
4,40,69,45,89,61,14,88,83
43,78,86,13,57,72,56,89,39
34,27,58,8,71,11,19,67,88
89,35,24,86,23,20,59,29,34
9,75,56,51,41,49,19,25,6
66,15,69,8,11,80,84,85,47
16,43,5,72,71,35,52,66,1
63,25,20,70,56,54,41,51,82
1,88,2,79,24,16,34,44,35
59,20,50,7,67,89,82,86,69
7,21,13,5,54,59,3,10,77
3,68,60,39,77,8,7,23,66
28,71,16,3,14,56,5,29,8
71,51,19,38,31,10,70,42,62
86,72,51,30,88,59,18,56,70
40,12,14,23,58,33,36,2,69
32,19,20,78,51,83,76,24,21
13,63,26,70,64,7,35,83,66
48,69,31,18,57,88,83,13,35
48,59,9,70,29,78,82,12,10
56,89,7,69,37,86,21,28,22
22,72,17,64,13,75,56,68,78
73,55,62,14,25,58,31,40,36
25,32,88,69,47,46,43,12,71
52,71,54,88,7,57,4,63,41
12,61,49,68,84,54,50,34,19
39,41,89,36,6,25,26,5,65
41,46,61,87,23,33,76,45,65
19,32,80,88,45,9,17,87,15
40,85,12,19,10,38,16,59,35
61,20,89,74,10,36,41,13,18
45,85,21,73,83,77,56,69,20
48,6,43,26,42,14,52,77,78
17,83,11,49,68,54,59,27,75
76,1,41,88,83,40,2,51,30
40,22,47,50,52,74,2,87,16
77,29,53,57,75,22,11,27,78
66,61,80,69,8,73,74,41,10
44,10,82,36,60,31,84,33,25
73,71,8,47,15,86,35,11,62
68,63,23,64,50,14,66,15,28
26,56,24,45,28,50,8,37,58
62,81,30,39,32,34,49,57,5
88,20,32,81,48,73,74,45,89
51,16,11,44,67,64,32,37,60
22,84,46,72,56,31,70,50,11
3,39,48,28,54,36,87,1,32
8,60,55,44,89,67,40,22,70
68,30,26,84,35,13,8,89,83
44,80,72,63,29,73,83,1,6
18,48,65,63,72,13,42,14,85
34,69,57,19,45,20,82,42,6
71,5,72,82,81,38,40,56,36
27,3,36,33,55,45,6,9,53
76,17,48,43,69,18,39,73,67
87,48,72,54,65,31,15,71,34
31,66,36,28,15,27,82,5,20
74,85,84,41,60,49,59,48,39
68,83,3,43,16,46,17,76,59
9,11,67,17,26,43,2,51,1
28,63,33,71,40,41,38,17,50
2,88,55,7,18,12,83,37,77
36,78,8,59,37,50,57,82,72
22,85,66,49,82,50,89,56,83
22,35,64,41,52,75,73,67,20
63,58,3,30,29,4,74,37,51
37,71,67,88,86,8,18,34,15
30,83,85,78,25,23,42,48,86
64,3,74,9,75,43,30,20,22
11,63,66,60,87,53,54,55,86
57,29,64,36,20,14,25,86,77
23,33,39,53,86,54,67,35,55
78,35,81,19,76,3,38,77,57
27,53,67,34,71,88,81,40,18
51,70,71,16,77,80,38,10,89
69,83,53,30,68,80,45,76,89
64,85,46,50,40,24,47,74,42
56,1,58,84,82,2,41,23,26
14,66,26,67,16,29,6,59,56
67,81,13,5,8,39,87,22,11
89,17,5,34,39,50,26,58,37
3,9,66,16,37,58,77,24,86
12,31,78,20,64,25,62,58,54
84,15,72,27,43,30,46,49,60
6,65,64,59,50,41,47,1,43
89,13,74,50,77,31,61,45,62
19,11,17,8,54,2,25,83,72
64,88,35,81,73,50,52,14,51
3,43,17,78,11,38,37,7,54
40,46,77,31,55,65,9,35,62
68,61,10,48,43,42,86,34,85
11,25,9,48,71,1,73,15,2
85,19,69,7,43,75,22,23,76
12,88,82,16,66,56,71,62,60
69,6,70,37,16,36,46,21,7
54,55,14,46,89,81,60,25,30
36,39,32,14,72,66,11,7,16
50,37,15,5,24,41,10,33,59
63,87,51,49,74,2,54,59,56
87,13,78,1,15,74,26,33,67
50,66,31,79,78,42,87,24,5
16,20,38,64,26,72,18,2,8
81,54,52,31,41,20,11,9,61
57,48,21,39,84,53,8,65,1
60,32,28,13,87,82,39,29,48
82,1,41,60,77,56,47,52,57
27,77,69,70,3,82,89,11,39
36,43,6,7,70,59,21,9,46
81,23,32,80,62,27,1,9,31
63,68,70,12,28,3,56,48,65
33,24,65,58,72,39,70,78,38
66,14,77,51,26,64,63,37,45
87,56,49,18,21,51,44,89,54
67,77,14,60,69,57,4,5,27
71,59,85,66,14,58,30,52,38
23,16,59,19,50,26,41,44,64
43,61,70,24,51,57,40,47,16
52,53,55,85,11,24,79,57,8
29,9,53,16,7,74,87,4,18
19,51,34,20,30,69,63,37,9
37,21,14,3,24,48,54,13,69
18,53,9,35,12,83,13,8,22
64,46,35,19,70,10,69,63,84
44,65,73,66,5,8,85,83,1
48,3,33,49,44,72,4,26,51
8,50,61,63,18,32,37,42,29
44,12,81,9,10,53,62,15,55
76,51,65,25,48,14,16,87,53
9,44,48,17,60,55,19,40,25
52,55,22,20,9,40,57,64,65
43,1,58,10,37,87,41,31,47
68,14,45,66,43,85,3,47,84
28,70,42,81,14,13,86,32,83
