Running Simulation with diurnal traffic loaded at <1.0> capacity | with 100G margin of 20 to 25.8 | And BBU4 Capacity of 100 Requests | For 7 Days.
Hour, r2, r3, Lightpaths, average wavelengths, T1 traffic, t4 traffic, r2 rejections, r3 rejections, Total_Rejections,50G, 100G, 200G, Uniderutilised, Total Provisionsing
0, 3600.0, 9360.0, 95, 53.333333333333336, 403, 115, 0.0, 0.0, 0.0, 0, 59, 36, 1, 13100, 12960.0
1, 3060.0, 7560.0, 95, 53.333333333333336, 327, 97, 0.0, 0.0, 0.0, 0, 59, 36, 4, 13100, 10620.0
2, 2520.0000000000005, 5760.0, 92, 51.666666666666664, 258, 72, 0.0, 0.0, 0.0, 0, 57, 35, 10, 12700, 8280.0
3, 1980.0, 4320.0, 88, 49.0, 193, 58, 0.0, 0.0, 0.0, 0, 53, 35, 32, 12300, 6300.0
4, 1620.0, 3600.0, 86, 47.666666666666664, 159, 49, 0.0, 0.0, 0.0, 0, 51, 35, 46, 12100, 5220.0
5, 1800.0, 3240.0, 81, 44.333333333333336, 155, 46, 0.0, 0.0, 0.0, 0, 46, 35, 44, 11600, 5040.0
6, 4320.0, 4320.0, 86, 46.0, 255, 89, 0.0, 0.0, 0.0, 0, 46, 40, 33, 12600, 8640.0
7, 7200.0, 7200.0, 100, 50.666666666666664, 476, 100, 0.0, 0.0, 0.0, 0, 47, 53, 4, 15300, 14400.0
8, 9360.0, 8100.0, 105, 52.333333333333336, 532, 120, 0.12393162393162388, 0.0, 0.06643757159221074, 0, 47, 58, 0, 16300, 17460.0
9, 14580.000000000002, 9000.0, 109, 53.666666666666664, 536, 152, 0.4375857338820302, 0.0, 0.270568278201866, 0, 46, 63, 0, 17200, 23580.0
10, 16920.0, 9900.0, 114, 55.333333333333336, 536, 188, 0.5153664302600472, 0.0, 0.3251304996271439, 0, 46, 68, 0, 18200, 26820.0
11, 18000.0, 10080.000000000002, 115, 55.666666666666664, 535, 196, 0.5444444444444444, 0.0, 0.349002849002849, 0, 46, 69, 0, 18400, 28080.0
